time_of_day,total_departures,total_returns,in_operation,buses_in_depot,buses_charging,energy_demandKW,energy_demandMW,third_rail_capacityMW,third_rail_capacityBuses,TPSS_capacityMW,TPSS_capacityBuses,max_energy_demand,average_energy_demand
0:00,0,14,79,211,31,4340,4.34,0.54,3.86,4.83,34.51,10.78,3.815
1:00,0,19,60,230,33,4620,4.62,0.56,4,5.15,36.78,10.78,3.815
2:00,0,28,32,258,47,6580,6.58,0.56,3.96,5.34,38.13,10.78,3.815
3:00,1,12,21,269,40,5600,5.6,0.57,4.04,5.37,38.36,10.78,3.815
4:00,23,0,44,246,12,1680,1.68,0.56,4,5.43,38.78,10.78,3.815
5:00,61,0,105,185,0,0,0,0.56,4,5.26,37.54,10.78,3.815
6:00,80,0,185,105,0,0,0,0.56,3.96,4.78,34.12,10.78,3.815
7:00,52,0,237,53,0,0,0,0.56,3.96,4.11,29.32,10.78,3.815
8:00,8,13,232,58,13,1820,1.82,0.58,4.11,3.8,27.14,10.78,3.815
9:00,0,47,185,105,60,8400,8.4,0.59,4.21,4.14,29.6,10.78,3.815
10:00,0,30,155,135,77,10780,10.78,0.6,4.25,4.53,32.39,10.78,3.815
11:00,3,9,149,141,39,5460,5.46,0.59,4.18,4.6,32.88,10.78,3.815
12:00,6,0,155,135,9,1260,1.26,0.59,4.21,4.52,32.31,10.78,3.815
13:00,10,0,165,125,0,0,0,0.6,4.29,4.5,32.15,10.78,3.815
14:00,34,6,193,97,6,840,0.84,0.59,4.21,4.51,32.21,10.78,3.815
15:00,35,0,228,62,6,840,0.84,0.58,4.14,4.29,30.67,10.78,3.815
16:00,10,20,218,72,20,2800,2.8,0.6,4.25,4.24,30.28,10.78,3.815
17:00,3,21,200,90,41,5740,5.74,0.58,4.11,4.22,30.13,10.78,3.815
18:00,3,7,196,94,28,3920,3.92,0.53,3.75,3.92,27.98,10.78,3.815
19:00,0,20,176,114,27,3780,3.78,0.51,3.64,3.99,28.5,10.78,3.815
20:00,0,21,155,135,41,5740,5.74,0.51,3.64,4.98,35.56,10.78,3.815
21:00,0,21,134,156,42,5880,5.88,0.49,3.5,5.28,37.68,10.78,3.815
22:00,0,22,112,178,43,6020,6.02,0.42,2.96,5.31,37.93,10.78,3.815
23:00,0,17,95,195,39,5460,5.46,0.4,2.86,5.26,37.56,10.78,3.815
