,stop_sequence,trip_id,stop_id,stop_name,stop_lat,stop_lon,elevation
0,1,JG_B2-Weekday-002000_B61_801,306328.0,SMITH ST/FULTON ST,40.691215,-73.987395,34.0
1,2,JG_B2-Weekday-002000_B61_801,307408.0,BOERUM PL/JORALEMON ST,40.692022,-73.989228,70.0
2,3,JG_B2-Weekday-002000_B61_801,305396.0,ATLANTIC AV/BOERUM PL,40.689271,-73.991016,15.0
3,4,JG_B2-Weekday-002000_B61_801,305397.0,ATLANTIC AV/COURT ST,40.689806,-73.992532,24.0
4,5,JG_B2-Weekday-002000_B61_801,305216.0,ATLANTIC AV/CLINTON ST,40.690391,-73.994744,28.0
5,6,JG_B2-Weekday-002000_B61_801,305217.0,ATLANTIC AV/HENRY ST,40.690747,-73.996107,18.0
6,7,JG_B2-Weekday-002000_B61_801,308647.0,ATLANTIC AV/HICKS ST,40.691173,-73.997626,18.0
7,8,JG_B2-Weekday-002000_B61_801,308049.0,COLUMBIA ST/CONGRESS ST,40.68943,-74.000632,5.0
8,9,JG_B2-Weekday-002000_B61_801,308564.0,COLUMBIA ST/BALTIC ST,40.688292,-74.001193,5.0
9,10,JG_B2-Weekday-002000_B61_801,305224.0,COLUMBIA ST/SACKETT ST,40.684797,-74.002888,7.0
10,11,JG_B2-Weekday-002000_B61_801,305226.0,COLUMBIA ST/CARROLL ST,40.682794,-74.003854,6.0
11,12,JG_B2-Weekday-002000_B61_801,305228.0,VAN BRUNT ST/SUMMIT ST,40.682959,-74.006333,10.0
12,13,JG_B2-Weekday-002000_B61_801,305229.0,VAN BRUNT ST/COMMERCE ST,40.681155,-74.008541,4.0
13,14,JG_B2-Weekday-002000_B61_801,305230.0,VAN BRUNT ST/VERONA ST,40.679824,-74.010102,4.0
14,15,JG_B2-Weekday-002000_B61_801,308620.0,VAN BRUNT ST/KING ST,40.678348,-74.011841,4.0
15,16,JG_B2-Weekday-002000_B61_801,305232.0,VAN BRUNT ST/WOLCOTT ST,40.677144,-74.013242,4.0
16,17,JG_B2-Weekday-002000_B61_801,305233.0,VAN BRUNT ST/COFFEY ST,40.676082,-74.014489,3.0
17,18,JG_B2-Weekday-002000_B61_801,305234.0,BEARD ST/VAN BRUNT ST,40.674935,-74.015268,4.0
18,19,JG_B2-Weekday-002000_B61_801,901462.0,BEARD ST/OTSEGO ST,40.672313,-74.011308,2.0
19,20,JG_B2-Weekday-002000_B61_801,306086.0,OTSEGO ST/LORRAINE ST,40.675026,-74.009604,4.0
20,21,JG_B2-Weekday-002000_B61_801,306087.0,LORRAINE ST/COLUMBIA ST,40.674455,-74.007354,6.0
21,22,JG_B2-Weekday-002000_B61_801,306089.0,LORRAINE ST/HENRY ST,40.673538,-74.00407,4.0
22,23,JG_B2-Weekday-002000_B61_801,801155.0,CLINTON ST/LORRAINE ST,40.674045,-74.002126,4.0
23,24,JG_B2-Weekday-002000_B61_801,801156.0,MILL ST/CLINTON ST,40.674894,-74.001108,2.0
24,25,JG_B2-Weekday-002000_B61_801,308081.0,9 ST/SMITH ST,40.674271,-73.996969,7.0
25,26,JG_B2-Weekday-002000_B61_801,307695.0,9 ST/2 AV,40.672384,-73.992997,7.0
26,27,JG_B2-Weekday-002000_B61_801,308121.0,9 ST/3 AV,40.671175,-73.990656,7.0
27,28,JG_B2-Weekday-002000_B61_801,306633.0,9 ST/4 AV,40.670368,-73.988987,16.0
